question,intent,entity,answer
Where can I buy handmade artworks online?,e_commerce_search,handmade artworks,"intent: e_commerce_search, entities: handmade artworks"
Tell me a story about a magical journey.,story_telling,magical journey,"intent: story_telling, entities: magical journey"
"Once upon a time,  there was a talented musician.",story_telling,musician,"intent: story_telling, entities: musician"
Who was the first woman to win a Nobel Prize?,general_knowledge,Nobel Prize,"intent: general_knowledge, entities: Nobel Prize"
What is the currency of South Africa?,general_knowledge,"South Africa,  currency","intent: general_knowledge, entities: South Africa,  currency"
What's your favorite place to visit?,any_other,,"intent: any_other"
Where can I find a good pizza place nearby?,any_other,pizza place,"intent: any_other, entities: pizza place"
Can you tell me an intriguing science fact?,any_other,,"intent: any_other"
What's the weather like in Toronto today?,weather_check,Toronto,"intent: weather_check, entities: Toronto"
Will it be a sunny day in Rome tomorrow?,weather_check,Rome,"intent: weather_check, entities: Rome"
Tell me the latest education and learning news.,news_check,education and learning,"intent: news_check, entities: education and learning"
Any updates on the music world?,news_check,music,"intent: news_check, entities: music"
I want to buy a new gaming laptop.,e_commerce_search,gaming laptop,"intent: e_commerce_search, entities: gaming laptop"
Show me smartphones with high-quality cameras.,e_commerce_search,"smartphones,  high-quality cameras","intent: e_commerce_search, entities: smartphones,  high-quality cameras"
Where can I buy pet food online?,e_commerce_search,pet food,"intent: e_commerce_search, entities: pet food"
Tell me a story about a wise sage.,story_telling,wise sage,"intent: story_telling, entities: wise sage"
"Once upon a time,  there was a clever fox.",story_telling,fox,"intent: story_telling, entities: fox"
Who was the inventor of the telephone?,general_knowledge,telephone,"intent: general_knowledge, entities: telephone"
What is the currency of Germany?,general_knowledge,"Germany,  currency","intent: general_knowledge, entities: Germany,  currency"
What's your favorite holiday destination?,any_other,,"intent: any_other"
Is there a pharmacy nearby?,any_other,pharmacy,"intent: any_other, entities: pharmacy"
Can you tell me an interesting historical event?,any_other,,"intent: any_other"
What's the weather like in Hong Kong today?,weather_check,Hong Kong,"intent: weather_check, entities: Hong Kong"
Will it rain in Sydney tomorrow?,weather_check,Sydney,"intent: weather_check, entities: Sydney"
Tell me the latest technology and gadgets news.,news_check,technology and gadgets,"intent: news_check, entities: technology and gadgets"
Any updates on the celebrity world?,news_check,celebrity,"intent: news_check, entities: celebrity"
I want to buy a new fitness tracker.,e_commerce_search,fitness tracker,"intent: e_commerce_search, entities: fitness tracker"
Show me laptops with 14-inch displays.,e_commerce_search,"laptops,  14-inch displays","intent: e_commerce_search, entities: laptops,  14-inch displays"
Where can I buy handmade soaps online?,e_commerce_search,handmade soaps,"intent: e_commerce_search, entities: handmade soaps"
Tell me a story about a brave sea captain.,story_telling,sea captain,"intent: story_telling, entities: sea captain"
"Once upon a time,  there was a magical mermaid.",story_telling,mermaid,"intent: story_telling, entities: mermaid"
Who discovered the theory of relativity?,general_knowledge,theory of relativity,"intent: general_knowledge, entities: theory of relativity"
What is the currency of Egypt?,general_knowledge,"Egypt,  currency","intent: general_knowledge, entities: Egypt,  currency"
What's your favorite animal?,any_other,,"intent: any_other"
How can I get to the nearest movie theater?,any_other,movie theater,"intent: any_other, entities: movie theater"
Can you tell me an intriguing science fiction fact?,any_other,,"intent: any_other"
What's the weather like in Bangkok today?,weather_check,Bangkok,"intent: weather_check, entities: Bangkok"
Will it be a sunny day in Amsterdam tomorrow?,weather_check,Amsterdam,"intent: weather_check, entities: Amsterdam"
Tell me the latest arts and culture news.,news_check,arts and culture,"intent: news_check, entities: arts and culture"
Any updates on the education and technology world?,news_check,education and technology,"intent: news_check, entities: education and technology"
I want to buy a new pair of running shoes.,e_commerce_search,running shoes,"intent: e_commerce_search, entities: running shoes"
Show me laptops with dedicated graphics cards.,e_commerce_search,"laptops,  dedicated graphics cards","intent: e_commerce_search, entities: laptops,  dedicated graphics cards"
Where can I buy organic food online?,e_commerce_search,organic food,"intent: e_commerce_search, entities: organic food"
Tell me a story about a fearless adventurer.,story_telling,fearless adventurer,"intent: story_telling, entities: fearless adventurer"
"Once upon a time,  there was a wise hermit.",story_telling,hermit,"intent: story_telling, entities: hermit"
Who was the first person to fly solo across the Atlantic Ocean?,general_knowledge,Atlantic Ocean,"intent: general_knowledge, entities: Atlantic Ocean"
What is the currency of Italy?,general_knowledge,"Italy,  currency","intent: general_knowledge, entities: Italy,  currency"
What's your favorite type of music?,any_other,,"intent: any_other"
Where can I find a good sushi restaurant nearby?,any_other,sushi restaurant,"intent: any_other, entities: sushi restaurant"
Can you tell me an interesting animal fact?,any_other,,"intent: any_other"
What's the weather like in Berlin today?,weather_check,Berlin,"intent: weather_check, entities: Berlin"
Will it rain in Paris tomorrow?,weather_check,Paris,"intent: weather_check, entities: Paris"
Tell me the latest fashion and lifestyle news.,news_check,fashion and lifestyle,"intent: news_check, entities: fashion and lifestyle"
Any updates on the technology and gaming world?,news_check,technology and gaming,"intent: news_check, entities: technology and gaming"
I want to buy a new digital camera.,e_commerce_search,digital camera,"intent: e_commerce_search, entities: digital camera"
